gene_symbol,citrus_sinensis_id,arabidopsis_id,gene_description,mapman_bin,condition,condition_label,log2_fold_change_vs_healthy,direction
,Orange1.1g006767m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g006767m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.28,up
,Orange1.1g006915m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g006915m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.35,up
,Orange1.1g006973m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g006973m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.64,down
,Orange1.1g007278m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g007278m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.2,up
,Orange1.1g007736m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g007736m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.38,up
,Orange1.1g008914m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g008914m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.29,up
,Orange1.1g010352m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g010352m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.23,up
,Orange1.1g010388m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g010388m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.36,up
,Orange1.1g011548m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g011548m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.3,up
,Orange1.1g011556m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g011556m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,3.46,up
,Orange1.1g011739m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g011739m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.0,down
,Orange1.1g011959m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g011959m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.19,down
,Orange1.1g012242m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g012242m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.35,up
,Orange1.1g012732m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g012732m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.34,up
,Orange1.1g013059m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g013059m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.18,up
,Orange1.1g014290m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g014290m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.74,up
,Orange1.1g014537m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g014537m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,5.39,up
,Orange1.1g015047m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g015047m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.93,up
,Orange1.1g016102m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g016102m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.03,down
,Orange1.1g016330m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g016330m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.2,up
,Orange1.1g016330m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g016330m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,3.44,up
,Orange1.1g016584m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g016584m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.02,down
,Orange1.1g016596m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g016596m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.06,down
,Orange1.1g016776m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g016776m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.64,up
,Orange1.1g017963m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g017963m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.9,up
,Orange1.1g018051m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g018051m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,11.13,up
,Orange1.1g018051m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g018051m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,11.13,up
,Orange1.1g018153m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g018153m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.24,up
,Orange1.1g019665m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g019665m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.42,up
,Orange1.1g019824m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g019824m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.23,down
,Orange1.1g019909m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g019909m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.66,up
,Orange1.1g020186m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g020186m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.43,down
,Orange1.1g020291m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g020291m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,3.72,up
,Orange1.1g020472m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g020472m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.38,down
,Orange1.1g021013m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g021013m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.22,up
,Orange1.1g021031m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g021031m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.7,up
,Orange1.1g021196m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g021196m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.4,up
,Orange1.1g021196m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g021196m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.56,up
,Orange1.1g021502m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g021502m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.45,up
,Orange1.1g021539m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g021539m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.4,up
,Orange1.1g021869m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g021869m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.11,down
,Orange1.1g022923m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g022923m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.02,down
,Orange1.1g022937m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g022937m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.19,down
,Orange1.1g023089m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g023089m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.71,down
,Orange1.1g023424m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g023424m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.19,down
,Orange1.1g023905m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g023905m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.17,down
,Orange1.1g024440m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g024440m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.21,down
,Orange1.1g024515m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g024515m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.05,down
,Orange1.1g024550m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g024550m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.76,up
,Orange1.1g024793m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g024793m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.05,down
,Orange1.1g025006m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g025006m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.07,down
,Orange1.1g025674m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g025674m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.01,down
,Orange1.1g025808m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g025808m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.21,up
,Orange1.1g025977m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g025977m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.27,down
,Orange1.1g026067m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g026067m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.07,down
,Orange1.1g026076m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g026076m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.0,down
,Orange1.1g026906m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g026906m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.06,down
,Orange1.1g027519m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g027519m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.12,down
,Orange1.1g027743m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g027743m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.26,down
,Orange1.1g028533m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g028533m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.09,down
,Orange1.1g028730m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g028730m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.11,down
,Orange1.1g028960m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g028960m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.43,up
,Orange1.1g029153m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g029153m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.16,down
,Orange1.1g029257m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g029257m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.59,up
,Orange1.1g029350m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g029350m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.43,up
,Orange1.1g029417m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g029417m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.34,down
,Orange1.1g029641m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g029641m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,5.97,up
,Orange1.1g030080m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g030080m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.23,down
,Orange1.1g030784m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g030784m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.58,down
,Orange1.1g030804m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g030804m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.33,down
,Orange1.1g030870m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g030870m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.51,down
,Orange1.1g031306m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g031306m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.33,down
,Orange1.1g031629m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g031629m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.87,up
,Orange1.1g031705m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g031705m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.71,up
,Orange1.1g031865m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g031865m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.18,down
,Orange1.1g032326m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g032326m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-2.27,down
,Orange1.1g032664m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g032664m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-2.1,down
,Orange1.1g032690m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g032690m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,3.93,up
,Orange1.1g032727m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g032727m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.47,down
,Orange1.1g032956m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g032956m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,6.86,up
,Orange1.1g032956m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g032956m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,6.86,up
,Orange1.1g033112m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g033112m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,3.84,up
,Orange1.1g033482m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g033482m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.18,down
,Orange1.1g033931m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g033931m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.01,down
,Orange1.1g033970m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g033970m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.01,down
,Orange1.1g034124m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g034124m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.01,up
,Orange1.1g034400m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g034400m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.03,down
,Orange1.1g034489m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g034489m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.27,up
,Orange1.1g035537m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g035537m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.24,down
,Orange1.1g038037m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g038037m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.43,up
,Orange1.1g038172m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g038172m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.21,down
,Orange1.1g039041m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g039041m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.78,up
,Orange1.1g040489m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g040489m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.57,up
,Orange1.1g040562m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g040562m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,8.23,up
,Orange1.1g040659m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g040659m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.08,up
,Orange1.1g041275m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g041275m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.35,down
,Orange1.1g041707m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g041707m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.3,down
,Orange1.1g042358m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g042358m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.13,down
,Orange1.1g042603m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g042603m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.03,up
,Orange1.1g043340m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g043340m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.63,down
,Orange1.1g043754m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g043754m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.65,up
,Orange1.1g044590m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g044590m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.3,up
,Orange1.1g044590m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g044590m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.04,up
,Orange1.1g044749m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g044749m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.72,up
,Orange1.1g044801m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g044801m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,3.13,up
,Orange1.1g044821m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g044821m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,5.44,up
,Orange1.1g044821m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g044821m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,5.44,up
,Orange1.1g044880m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g044880m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.04,down
,Orange1.1g045930m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g045930m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,2.95,up
,Orange1.1g046345m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g046345m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,1.17,up
,Orange1.1g047658m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g047658m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-1.32,down
,Orange1.1g047769m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g047769m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,-2.14,down
,Orange1.1g048439m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g048439m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,3.17,up
,Orange1.1g048792m,,,,healthy_mock,healthy/mock-inoculated control,0.0,baseline
,Orange1.1g048792m,,,,coinfection_ctv_b2_b6,simultaneous mild B2 and severe B6 infection,3.01,up
ABC-2,orange1.1g000773m,AT1G59870,ABC-2 and Plant PDR ABC-type transporter ,transport.ABC transporters and multidrug resistance systems,healthy_mock,healthy/mock-inoculated control,0.0,baseline
ABC-2,orange1.1g000909m,AT3G28345,ABC-2 type transporter ,transport.ABC transporters and multidrug resistance systems,healthy_mock,healthy/mock-inoculated control,0.0,baseline
ABC-2,orange1.1g000909m,AT3G28345,ABC-2 type transporter ,transport.ABC transporters and multidrug resistance systems,mild_ctv_b2,mild Citrus tristeza virus strain B2,2.40523,up
"GI,FB",orange1.1g001216m,AT1G22770,GIGANTEA,development.unspecified,healthy_mock,healthy/mock-inoculated control,0.0,baseline
"GI,FB",orange1.1g001216m,AT1G22770,GIGANTEA,development.unspecified,mild_ctv_b2,mild Citrus tristeza virus strain B2,3.66944,up
"GI,FB",orange1.1g001216m,AT1G22770,GIGANTEA,development.unspecified,severe_ctv_b6,severe Citrus tristeza virus strain B6,5.60156,up
*,orange1.1g001544m,AT3G47570,Leucine-rich repeat protein kinase ,signalling.receptor kinases.leucine rich repeat XI,healthy_mock,healthy/mock-inoculated control,0.0,baseline
